CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP005205-RB	0.117784403361405	0.100904671309083	20	16	381.184522641896
AGAP005223-RA	0.0128649728022085	0.00616375746102637	20	4	89.631288745857
AGAP005234-RA	0.000187396267479709	7.03603119569506e-06	24	4	1049.33533140007
AGAP005243-RA	0.403787618307962	0.387132179794995	20	18	161.226014625759
AGAP005243-RB	0.0399307547884998	0.0279578632152162	20	0	13.9730042791234
AGAP005244-RA	0.00946299016075351	0.0040484183183763	24	20	153.523076344155
AGAP005246-RD	0.022880709322003	0.0135517686095417	16	4	117.673566110992
AGAP005246-RE	0.0521091498320216	0.0392954244634917	20	2	18.4989426207501
AGAP005250-RA	0.153388408645714	0.134894195440414	24	20	59.8455339595851
AGAP005269-RB	0.779675982630628	0.77142980618821	24	20	49.5824511834621
AGAP005281-RA	0.00515349946420471	0.00164606751791626	24	20	59.8160796093539
AGAP005289-RA	0.0300039486594873	0.019611253592346	20	16	175.56323304435
AGAP005291-RA	0.117784403361405	0.100904671309083	8	2	43.8364709650132
AGAP005293-RA	0.00946299016075351	0.0040484183183763	24	12	182.750373978608
AGAP005300-RC	0.0128649728022085	0.00616375746102637	24	18	85.1268098244716
AGAP005306-RA	0.0399307547884998	0.0279578632152162	20	12	62.2598014296678
AGAP005322-RA	0.00185528640360573	0.000359087691020464	24	4	433.821943845239
AGAP005323-RA	0.0300039486594873	0.019611253592346	24	6	45.2255884380484
AGAP005323-RB	0.00946299016075351	0.0040484183183763	20	6	41.7662692355931
AGAP005327-RA	0.00515349946420471	0.00164606751791626	24	6	203.708987218149
AGAP005345-RA	0.00185528640360573	0.000359087691020464	20	2	48.7284741963906
AGAP005360-RA	0.0691577311827721	0.0544923423915021	24	6	92.0964489171178
AGAP005363-RA	0.00257170139228963	0.000611986053162524	20	2	6.80891580869327
AGAP005364-RA	0.022880709322003	0.0135517686095417	24	4	257.127525603341
AGAP005369-RA	0.00703610430984441	0.00260830730893756	24	18	129.892605018144
AGAP005376-RA	0.000872511020963259	0.000113043469135906	20	2	142.171354035725
AGAP005381-RC	0.0300039486594873	0.019611253592346	24	8	259.753004795416
AGAP005388-RA	0.00185528640360573	0.000359087691020464	24	22	46.7582688601515
AGAP005392-RA	0.00703610430984441	0.00260830730893756	24	22	48.0764817436491
AGAP005397-RA	0.153388408645714	0.134894195440414	24	8	8.80047991830995
AGAP005400-RB	0.0399307547884998	0.0279578632152162	20	12	74.7516716184331
AGAP005404-RA	0.00946299016075351	0.0040484183183763	24	6	93.2540493096871
AGAP005408-RA	0.0399307547884998	0.0279578632152162	24	18	57.7230198095087
AGAP005414-RA	0.0300039486594873	0.019611253592346	24	0	122.206416003042
AGAP005421-RA	0.0691577311827721	0.0544923423915021	24	20	31.4967574706858
AGAP005423-RA	0.0170041501454752	0.00921695076632051	24	22	65.5486537994677
