CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP
AGAP001769-RD	0.233260006799923	0.252631542301635	24	18	46.8575202733063	435.455688365391	47.66363591818	0.109456914197399
AGAP001786-RB	0.618543104304659	0.631227744328176	24	4	82.0843994891789	473.567800664727	13.2146555514793	0.0279044638020796
AGAP001787-RA	0.0746056167222134	0.090493406813153	8	6	14.8870312505246	141.076974755125	89765443068488064	636286986053528
AGAP001796-RA	0.00921695076632051	0.0170041501454752	24	2	22.0746997501606	64.3615771945501	32.7100009735077	0.508222489244366
AGAP001797-RI	0.000204707757228766	0.00126918809481835	24	14	147.694791214797	786.01297916789	325.296709558846	0.41385666417776
AGAP001802-RB	0.00921695076632051	0.0170041501454752	24	18	149.206447121295	1155.01821903105	228.834806636246	0.198122248520214
AGAP001807-RA	0.0392954244634917	0.0521091498320216	8	0	32.3586358090366	111.48789714796	23.9295738760547	0.214638310419442
AGAP001828-RA	0.019611253592346	0.0300039486594873	24	8	47.0164228602125	163.099475062669	53.3688943369684	0.327216836942375
AGAP001854-RA	7.03603119569506e-06	0.000187396267479709	24	20	22.3567822043005	67.6755299203251	22.0335712100385	0.325576633621912
AGAP001856-RA	4.54727345483648e-08	9.55432678121754e-06	24	20	465.362006244838	418.431949004661	384.515420128574	0.918943739939635
AGAP001859-RA	0.0135517686095417	0.022880709322003	24	8	500.664276457729	1520.84020375276	492.760248418064	0.324005274980337
AGAP001866-RA	0.00921695076632051	0.0170041501454752	24	8	172.251207583711	517.496799249249	97.0588126789813	0.187554421244321
AGAP001872-RA	7.03603119569506e-06	0.000187396267479709	24	16	577.204418465942	1420.46715955467	548.730065335299	0.386302535503413
AGAP001874-RC	0.0040484183183763	0.00946299016075351	24	4	62.7405215871617	436.953546704718	92.1994870355247	0.211005237812684
AGAP001889-RA	1.74895132878326e-09	1.10242232090972e-06	24	12	1542.91673040953	2334.02929084263	3040.91288406591	1.30285977815132
AGAP001890-RA	3.08724888556821e-05	0.000411125890324612	24	12	639.286907476442	812.177529427259	1175.86107830356	1.44778824296304
AGAP001891-RA	0.00164606751791626	0.00515349946420471	24	8	17.86577670373	87.6096711137999	43.2116267070199	0.493228957005106
AGAP001902-RA	0.00921695076632051	0.0170041501454752	24	16	155.275357963504	1037.30632605118	156.896867442361	0.151254131496176
AGAP001905-RA	0.100904671309083	0.117784403361405	24	18	75.941085463377	342.61158457786	80.5230658526531	0.235027271339548
AGAP001919-RA	0.0279578632152162	0.0399307547884998	24	2	151.541907819685	619.819310895668	155.791104380828	0.251349226528136
AGAP001925-RA	0.0544923423915021	0.0691577311827721	24	4	124.428188426997	488.088786227418	97.4482033440988	0.199652616683339
AGAP001928-RA	6.02583690818985e-05	0.000602902518168625	24	20	490.712384314836	1857.46964975634	443.948734703587	0.239007261713172
AGAP001936-RB	0.0135517686095417	0.022880709322003	24	12	2572.18846335815	4765.03056478279	2755.10473115292	0.578192457256253
AGAP001938-RA	0.0135517686095417	0.022880709322003	20	0	13.6905866752698	156.565404991238	26.6883669480663	0.170461456345097
AGAP001939-RA	0.0040484183183763	0.00946299016075351	24	6	97.2626188374735	514.627185116105	86.909714285717	0.168878980355671
AGAP001945-RA	0.0279578632152162	0.0399307547884998	8	2	28.5615039267576	215.109195590196	123258727946948464	573005387374366
AGAP001954-RA	0.00921695076632051	0.0170041501454752	20	18	59.9390918582296	192.277981994144	53.8472582587272	0.280049008733444
AGAP001962-RA	0.00616375746102637	0.0128649728022085	24	2	53.8747873217196	174.046617957387	57.1539493837471	0.32838299332964
AGAP001964-RA	0.301988958170681	0.321001191624934	24	6	13.9293266592997	8.79790722165998	6.96338647160814	0.791482144124531
AGAP001971-RA	0.00921695076632051	0.0170041501454752	24	6	3178.74772929424	10470.5523134217	3893.30713176851	0.371833979261808
AGAP001974-RA	0.00260830730893756	0.00703610430984441	24	10	26.8667370919845	85.8853447338212	29.6873909664749	0.345663058796388
AGAP001979-RA	0.100904671309083	0.117784403361405	24	4	46.5087621418609	192.502874029421	16.3415926112871	0.084890122777022
AGAP001990-RA	0.00921695076632051	0.0170041501454752	24	0	82.284507901499	407.037863651376	127.726985561343	0.313796324537365
AGAP001995-RA	0.0040484183183763	0.00946299016075351	20	2	96.2759812720124	670.115745317594	146.316119495963	0.218344547965543
AGAP001999-RA	0.100904671309083	0.117784403361405	20	18	51.6395964352359	261.302382709418	46.3731783938488	0.177469405035691
AGAP002004-RA	0.100904671309083	0.117784403361405	24	0	11.67227778573	44.2210397837488	16.0115572345981	0.362080071226239
AGAP002008-RA	0.301988958170681	0.321001191624934	24	6	7.81225770414926	14.99136147816	4.33063614573521	0.288875440168944
AGAP002021-RA	0.00101588537512907	0.0037014243629462	24	12	322.703189819157	1298.25814040039	548.806279883049	0.422725082789617
AGAP002026-RC	0.00921695076632051	0.0170041501454752	24	6	37.8013522238265	132.690496979379	49.1890932966543	0.370705471879412
AGAP002028-RA	0.134894195440414	0.153388408645714	24	20	130.743859917365	653.306757005004	113.389061601265	0.173561746278397
AGAP002036-RA	0.0135517686095417	0.022880709322003	24	14	183.815473861623	929.918929462298	244.332607688802	0.262746138343566
AGAP002060-RA	0.000611986053162524	0.00257170139228963	24	6	11.6455049416654	17.7164554971968	11.5374895623108	0.651230126936868
AGAP002071-RA	0.0746056167222134	0.090493406813153	12	6	31.6529747024724	720.767334647418	14.9457493479683	0.0207358860890657
AGAP002074-RA	0.134894195440414	0.153388408645714	16	10	33.1998732993792	146.111219880011	41.4390986578029	0.283613391851997
AGAP002076-RA	0.49159021300828	0.505765556473699	12	4	1889.75202663616	17659.1606373086	1861.0251752427	0.105385822886219
AGAP002078-RA	0.0392954244634917	0.0521091498320216	24	0	59.8504319040105	180.565231520539	61.2590134774861	0.3392625089649
AGAP002085-RA	0.49159021300828	0.505765556473699	8	4	186.753068940646	1997.39845255151	144.185638151926	0.0721867176615363
AGAP002093-RA	0.000113043469135906	0.000872511020963259	24	16	19.2116644261964	63.5449089998309	23.3265463069269	0.367087571200848
AGAP002095-RA	0.100904671309083	0.117784403361405	12	8	26.9620145837205	93.4470710176828	20.1344021764866	0.215463170297511
AGAP002097-RA	1.51231821399889e-05	0.000297895181528322	24	0	352.126927923479	758.288317743129	454.651227078092	0.599575671205454
