id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP004714-RA	140.709383186694	93.0323586215015	100.743684980914	131.953073871731	93.5577797544819	112.746349037208	158.658331644541	104.927890493052	132.595264658643	142.543998112809	164.752752520877	174.441500024687	117.036353969213	143.542292564929	104.727044374133	112.052351905599	79.0932557152359	161.89243417267	75.3203054045952	87.5150974823984	74.0131979286391	68.3766632460233	80.9585702735501	85.62113959694	119.44514075103	100.824164196403	107.537249402408	101.797313945718	107.704216623267	125.942121802512	120.092973102985	93.1816917183771	65.1354368144465	111.138403512961	89.3193445056227
AGAP004715-RA	778.338389879552	738.256781319012	801.074785412751	808.51247081406	642.99710449444	797.576024670621	867.332212990158	789.626836930762	740.250384816132	1098.15145914539	832.589802918005	809.533907300196	739.000977919891	765.55889367962	860.993651698818	841.491191761656	663.74205134002	858.853082983826	699.811445151555	704.496534733307	662.754545088268	619.188672727878	599.318304941697	697.858320585812	772.023470707878	781.800486309814	855.779623395632	715.546167929124	741.827918989471	660.180477190585	711.319917609991	679.120804049189	825.372923215897	743.70115017423	670.910076343371
AGAP004717-RA	0	0	8.12449072426725	8.39701379183742	0	0	0	0	0	11.2534735352218	0	0	16.7194791384591	0	0	10.9855246966274	0	0	18.1150101605988	14.2212033408897	31.9602445600941	0	31.4838884397139	17.4924908853963	17.4797766952727	8.26427575380353	30.724928400688	15.8131749818591	0	53.8301004478477	14.7806736126751	0	24.3042674680771	7.40922690086406	27.404798882407
AGAP004718-RB	22.8177378140585	0	0	19.1931743813427	0	47.6040140379324	0	0	32.4902304130449	0	0	0	0	41.1320019630497	28.3278070848066	16.8444712014953	130.396989152146	0	111.550325725793	95.1726685121083	120.271446634038	110.162401896371	0	79.176537691794	0	43.8006614951587	138.262177803096	86.9724624002251	78.6603829271054	97.5035781696865	102.540923187934	119.240978385381	126.382190834001	16.6707605269441	116.72414338803
AGAP004720-RA	517.20205711866	483.168056066508	296.543911435755	477.430212735899	450.778393362504	411.732963521064	307.914688080517	506.855064246097	377.589164259711	580.491676525189	462.876780891988	502.433302466315	371.172436873791	408.801733796025	395.730880790783	401.337835583453	243.692733825321	315.553049658594	286.026476219982	334.745247870174	309.509736792491	216.526100279074	252.995532104844	315.785493352155	469.040674656484	322.306754398338	288.272122347631	496.138365055829	265.024982477478	407.280571312961	247.576283012308	341.929428085231	333.454549662017	397.319792558835	246.643189941663
AGAP004726-RA	1323.42879321539	1391.48398755386	1410.41158973279	1506.6641889354	1639.81272151492	1454.01032350948	1719.3862162664	1580.14289327248	1601.68054792957	2048.13218341036	1973.1103456667	1577.2854193849	1796.50803342743	1734.25951134002	1660.18117884897	1709.34764279522	1316.79582488068	1633.55868605869	985.837921371537	1302.88101376921	995.813935767144	1097.82531545004	1047.96371520762	1290.76169585925	1405.66537591151	1580.12952412724	1259.72206442821	1422.19742493095	1156.91270889712	1762.17404296256	1587.99862126178	1401.67375254338	1853.92952246492	1483.69768689803	1178.4063519435
AGAP004729-RA	242.121551249177	253.088029368171	247.796967090151	331.082258078161	294.281743591371	270.5912376893	304.388947377305	317.451329712029	312.608703433622	331.977469289042	339.312216501331	322.769003039691	310.146338018416	248.47086900128	208.595670351757	305.397586566241	222.316178226609	244.21062104013	220.240386689386	254.887721417485	227.085948190143	191.201410187954	219.262794490865	241.212242735465	286.95966741406	316.521761370675	219.592870628446	249.057505964281	223.879551407915	262.040866331032	251.271451415477	184.784032729663	255.680893764171	309.335223111074	229.388316571258
AGAP004731-RA	382.830934435871	357.124215353506	502.093526759716	629.776034387806	634.491851789487	487.732354353553	506.531414361461	576.214178300826	395.151450969465	600.185255211827	592.325372158392	650.760805481319	609.425014596833	387.816018508755	266.968121314389	512.657819175943	362.332617398175	473.786897748266	340.371506701778	313.960412218104	242.225011402819	315.292391634441	305.843487700078	350.770475122948	337.942349441939	403.296656785612	301.827237818523	694.791375765434	499.795971521454	560.645574475697	381.526137627177	236.902606063671	629.966612772557	449.184380864884	423.251893850508
AGAP004735-RA	7.60591260468618	4.00139176866673	10.5618379415474	16.7940275836748	28.9178591968399	8.35158141016358	4.7009876042827	13.338291164371	11.4154863613401	13.1290524577587	12.7487248974488	11.4901586842608	8.35973956922954	15.1097150068346	2.57525518952787	5.12657819175943	29.9271778381974	7.31717216599639	39.0902850833975	10.9393871852998	27.7549492232396	7.59740702733592	43.8525588981729	18.4131483004172	27.6763131008485	33.8835305905945	48.7984156952103	14.8248515454929	47.1962297562633	31.4855304506279	35.1040998301034	26.0592866670038	32.0816330578617	18.5230672521601	20.2998510240052
AGAP004739-RA	401.845715947586	334.116212683672	330.666772477677	332.281831476995	285.776490886418	334.063256406543	168.060306853107	206.298903342271	135.229607665106	115.348103736023	135.332618142149	131.614544928806	340.241400467642	318.143443755017	224.047201488925	387.422837634391	490.59195099045	406.1030552128	532.962667356566	364.281593270483	513.887090163619	368.474240825792	281.10614678316	319.468123012238	240.34692956	201.648328392806	267.48761195893	280.683855927999	304.960253809701	428.60947903758	309.470353765385	330.873973135593	428.727278136879	409.359786272739	336.977526998486
AGAP004742-RB	327.054242001506	508.176754620675	387.538207547548	314.288230494486	415.056332001702	405.051698392933	432.490859594008	362.801519670891	248.506356943019	327.2885219827	362.848324004313	213.090215599019	283.395171396881	278.690299014949	344.225777000225	183.092078277123	470.284223171673	377.749013069564	342.278349876578	448.514874597292	707.330675658926	340.61708172556	787.097210992848	466.773309415576	613.248832392484	707.422004525582	856.683297760358	445.733869801153	698.262168445228	410.327558130764	235.56698570201	928.658215769589	272.207795642463	288.959849133698	548.095977648139
