id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGAP002499-RA	4191.37360709079	-0.782439550909571	0.0871067977756013	-8.98253145437902	2.64607304059633e-19	7.67073565138089e-17
AGAP000493-RA	350.31884688704	1.06450435934019	0.118644213616744	8.97224000134435	2.90544499144648e-19	8.24342743849762e-17
AGAP002159-RB	220.542572362297	-1.94840003063947	0.217369756785154	-8.96352859503472	3.14450996770994e-19	8.73584175404417e-17
AGAP013338-RA	932.016952082717	-1.47318571881303	0.164529706245164	-8.95391934036432	3.4307954298536e-19	8.997989489373e-17
AGAP000393-RB	435.365505549646	-1.9781833400367	0.220879593944679	-8.95593524376068	3.368676867751e-19	8.997989489373e-17
AGAP004834-RA	300.58766549663	-2.17397757040615	0.242805345900884	-8.95358198288432	3.44130081708304e-19	8.997989489373e-17
AGAP008898-RA	497.916756652149	-1.1504533308358	0.128600939834109	-8.94591697634436	3.68874289618861e-19	9.45949740782214e-17
AGAP004877-RA	4127.20711234103	-1.90134118089138	0.212658407520407	-8.94082299901042	3.86282662231729e-19	9.71901754879266e-17
AGAP029419-RA	97.936185111669	-2.16590795861372	0.242629336741692	-8.92681811564934	4.38437426108405e-19	1.08269686613992e-16
AGAP009768-RA	1810.89341667097	1.0955944252038	0.12292991734321	8.91234980777697	4.99622115985427e-19	1.21135653030285e-16
AGAP003993-RA	225.938436863933	-1.60556820941343	0.181020953827336	-8.86951579619271	7.34646375648229e-19	1.74937668201235e-16
AGAP003038-RA	125.073477479705	-1.61671538574578	0.182913339021945	-8.83869593322447	9.68422862292362e-19	2.26559980152082e-16
AGAP010672-RA	2471.96693259538	-1.05263838014195	0.119249300341426	-8.82720801822826	1.07321084738221e-18	2.4674597672141e-16
AGAP001622-RA	9156.20823919123	-2.31296088733567	0.263016397794094	-8.79397979264549	1.44353548962977e-18	3.26263487359542e-16
AGAP000402-RA	284.882938858632	-0.773424324881453	0.0880929617145816	-8.77963812123065	1.6400147547525e-18	3.64493279243744e-16
