id	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP006974-RA	5.643703600008	16.4158688969222	7.4103045594876	2.51018833235954	2.22856609290376	0	0	0.813916044264985	0.873760743693733	0.967908966425627	2.37410301684824	11.9737689993615	29.1589070935488	25.5913042777896	3.86178623069217	22.553183720822	11.0582887023955
AGAP006975-RA	60.199505066752	44.8700416515874	42.8150930103728	92.8769682973031	69.0855488800165	76.4599152034263	20.2262852872854	34.1844738591294	34.9504297477493	75.4968993811989	62.9137299464784	57.8732168302474	72.897267733872	63.5905136599621	97.5101023249773	57.7361503253042	67.3550311873179
AGAP006993-RA	1090.17541206821	953.214787281284	1382.43348393108	889.861763821458	820.112322188584	1034.02932941776	949.190673839037	870.076251319269	850.169203614002	459.756759052173	286.079413530213	570.749655636233	559.486529857468	577.743081422827	696.086968082264	944.527334228024	967.097611973132
AGAP007003-RA	61.14012233342	94.1176483423541	74.103045594876	115.468663288539	80.2283793445353	80.1008635464466	59.2341211984787	57.7880391428139	49.8043623905428	61.9461738512401	55.7914208959337	106.766106910974	87.4767212806464	89.1818179377518	103.302781671016	92.0169895809536	85.4504127003287
AGAP007024-RA	316.047401600448	226.538990777527	452.028578128744	283.651281556628	318.684951285238	354.082226358724	187.815506239079	176.619781605502	180.868473944603	175.191522923038	315.755701240816	272.403244735475	227.80396166835	252.811066501801	347.560760762295	432.119000090949	450.37393987938
AGAP007026-RA	191.885922400272	165.253080229017	165.496801828556	169.437712434269	196.113816175531	159.291490007138	93.9077531195395	113.134330152833	124.07402560451	72.593172481922	142.446181010894	215.527841988507	177.687090101313	160.527272287953	170.884040708129	164.187177487584	170.900825400657
AGAP007054-RA	136.38950366686	62.3803018083045	166.320169001833	176.968277431348	154.885343456811	147.458407892322	197.928648882722	318.241173307609	348.630536733799	589.456560553207	324.065061799785	317.30487848308	164.930068247885	239.627667328394	252.946998110337	41.4978580463124	143.757753131141
AGAP007055-RA	547.439249200776	545.006847377818	590.354263239179	764.352347203481	1008.42615703895	852.892149352505	1011.31426436427	1242.84979959263	1159.48050688158	695.926546860026	643.381917565873	663.546365381284	693.435259318458	715.781025709086	617.885796910747	416.78283516079	614.237672469422
AGAP007063-RA	56.43703600008	77.7017794454319	51.0487647431368	28.8671658221347	37.8856235793639	32.7685350871827	27.4499586041731	19.5339850623596	12.2326504117123	3.87163586570251	5.9352575421206	6.98469858296089	13.668237700101	3.10197627609571	12.5508052497496	15.3361649301589	20.1059794589009
AGAP007064-RA	548.379866467444	503.419979505615	537.658764149489	353.936554862695	324.256366517497	361.364123044765	193.594444892589	198.595514800656	205.333774768027	60.9782648848145	89.028863131809	124.726760410016	189.532896108067	113.997628146517	203.709223669012	275.148841394028	338.78575388248
AGAP007064-RB	75.2493813334401	103.967169680507	90.570389060404	41.4181074839324	13.3713965574226	33.6787721729378	14.4473466337753	10.5809085754448	5.2425644621624	2.90372689927688	10.6834635758171	16.9628394157622	18.224316933468	13.9588932424307	14.4816983650956	27.9659478138192	41.2172578907468
AGAP007065-RB	382.831227533876	342.544464315777	285.708409126911	207.090537419662	326.484932610401	263.058517783217	392.967828438688	377.657044538953	293.583609881094	506.216389440603	521.115612198189	470.96824730822	534.883701997286	598.681421286473	356.249779781353	427.608363346784	302.594990856458
AGAP007069-RA	920.864304067973	713.54310138622	962.516225560112	965.167413792244	1041.85464843251	1547.40304578363	879.843409996916	771.592409963206	888.614676336526	638.819917840914	433.273800574804	688.491717463288	667.921215611603	689.414227362272	669.054464467418	882.280547158555	920.85385921766
AGAP007080-RA	352.7314750005	501.231196986026	343.344111256259	288.671658221347	246.256553265865	236.661642296319	338.067911230342	336.147326281439	301.447456574338	298.115961659093	179.244777772042	409.103774144852	423.715368703131	376.114623476605	368.800585031102	394.229651439968	283.494310370502
AGAP007088-RA	1265.13022366846	998.084828932872	1353.6156328664	1310.31830949168	1026.25468578218	1382.65013326196	1079.21679354302	642.179758925073	873.760743693733	889.508340145151	773.957583492526	907.013001701635	657.897841298195	695.618179914464	1217.42810922571	878.672037763223	957.044622243681
AGAP007104-RA	1336.61713593523	1346.10124954762	1333.03145353449	1212.42096452966	1397.31094025066	1093.19473999184	1027.20634566142	1018.2089713755	1050.26041391987	827.562166293911	815.504386287371	1169.43810560431	1306.68352412966	1435.43952176329	1314.93821155068	1167.35278938974	1022.38905548511
AGAP007112-RA	326.394191533796	310.807117781728	354.871251682129	261.059586565392	274.113629427162	194.790736351586	169.033955615171	206.734675243306	219.313946667127	209.068336747935	299.136980122878	233.48849548755	278.832049082061	241.954149535466	281.910394840528	298.604152463683	300.584392910568
AGAP007115-RA	379.068758467204	296.580031404395	304.645854112268	282.396187390449	296.3992903562	250.315198582645	242.715423447425	192.084186446536	200.091210305865	266.174965767047	312.194546715544	279.387943318436	289.766639242141	230.321738500107	371.696924704121	312.136062696176	291.536702154063
AGAP007117-RA	304.759994400432	294.391248884805	390.276040133014	328.8346715391	269.656497241355	255.776621097176	288.946932675506	275.91753900583	240.284204515776	233.266060908576	237.410301684824	194.573746239625	256.051652915226	238.85217325937	332.113615839527	316.64669944034	349.844042584875
AGAP007120-RA	7214.53443534357	4694.93850451976	8921.1833224498	6790.05943903256	4851.58838425148	7357.44636415827	4352.9855407565	2970.79356156719	3957.26240818891	2163.27653996128	2891.65747452116	3796.68258688088	3017.03566833563	2685.53596102986	5793.64479259593	5041.98975262696	5835.76053794598
AGAP007134-RA	8.46555540001201	14.2270863773326	18.9374449853572	3.76528249853931	1.11428304645188	0.910237085755074	0	0	2.6212822310812	3.87163586570251	13.0575665926653	6.98469858296089	29.1589070935488	23.2648220707179	7.72357246138434	30.6723298603179	35.1854640530765
AGAP007137-RB	1035.61961060147	1474.14502694362	947.695616441137	791.964418859436	806.740925631161	872.917365239116	972.306428453078	1087.39183513802	969.874425500043	950.486605029966	845.180673997974	1154.47089435511	1325.8190569098	1333.84979872116	1016.61522522971	1238.62084994754	1199.32167472344
