id	F_ZT0	F_ZT0.1	F_ZT0.2	F_ZT4	F_ZT4.1	F_ZT4.2	F_ZT8	F_ZT8.1	F_ZT8.2	F_ZT12	F_ZT12.1	F_ZT16	F_ZT16.1	F_ZT16.2	F_ZT20	F_ZT20.1	F_ZT20.2
AGAP010249-RA	663.135173000941	890.83448547298	690.8050583789	794.474607191795	745.455358076308	744.573936147651	765.709371590091	802.521219645275	839.684074689677	701.73400065858	569.784724043578	714.434883628571	889.346666353239	777.820551231	740.497509735224	854.314599344736	716.778167709816
AGAP010250-RA	4.70308633334	2.18878251958963	3.2934686931056	10.0407533294382	4.45713218580752	8.19213377179567	4.33420399013259	3.25566417705994	2.6212822310812	3.87163586570251	0	3.99125633312051	3.6448633866936	3.87747034511964	5.79267934603826	2.70638204649863	8.04239178356035
AGAP010251-RA	546.498631934108	593.16006280879	515.427850471027	799.494983856514	563.827221504651	757.317255348222	741.148882312673	737.407936104076	527.751489191014	378.45240587242	521.115612198189	466.976990975099	498.43506813035	488.561263485075	654.572766102323	506.995570044078	532.808455660873
AGAP010252-RA	2183.17267593643	1250.88920994547	2225.56146936611	2571.68794650235	1865.30981976045	2184.56900581218	1811.69726787542	1452.02622296873	1871.59551299198	1746.10777543183	2634.06729719312	2066.47296647314	1346.77702138329	1305.15651816727	1871.03542877036	1179.9825722734	1606.46775876618
AGAP010253-RA	314.166167067112	218.878251958963	335.933806696771	328.8346715391	373.28482056138	417.798822361579	319.286360606434	293.009775935395	276.108395007219	305.859233390498	328.813267833481	401.121261478611	339.883510809178	256.68853684692	374.59326437714	423.999853951453	396.087795340347
AGAP010254-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93089311534609	0	0
AGAP010255-RA	0	0	0	0	2.22856609290376	2.73071125726522	0	0	0	0	0	0	0	4.65296441414357	0	0	0
AGAP010256-RA	9.40617266668001	18.6046514165119	21.4075465051864	8.7856591632584	8.91426437161504	13.6535562863261	7.22367331688765	18.7200690180947	13.106411155406	22.2619062277894	7.12230905054472	7.98251266624102	14.5794535467744	6.20395255219143	13.5162518074226	14.4340375813261	19.1006804859558
AGAP010257-RA	4815.0197880735	3255.81399788958	6003.17006035823	6074.65576431009	4542.93198038431	5419.55160858571	5110.02650436632	3760.29212450423	5015.38666880203	5023.447535749	6279.5024795636	5300.38841038403	3829.8402035683	3715.39208469364	5326.36865868218	3400.11797775112	4123.73638702057
AGAP010258-RA	818.337022001161	802.1887934296	629.875887556446	810.790831352132	771.083868144701	812.841717579282	1025.76161099805	892.865900558688	838.810313945983	990.170872653416	760.900016899861	945.92775094956	860.18775925969	800.309879232694	855.385650098316	932.799678693196	761.011322519398
