id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2
AGAP004677-RA	611.382136707452	626.420925077855	588.125324276138	716.032088823393	812.639312823616	534.467267970347	588.10991534379	534.84805758303	611.524617727137	491.983840813389	633.129847000402	480.456435056285	657.677422224507	503.559410947426	372.819841427081	737.78810862362	741.494247500907	821.522298659519
AGAP004677-RB	1271.57209105121	906.847683808361	894.543560453621	1192.169073058	1329.7734209841	948.952088028983	1098.99327614749	1244.34037886664	927.922137333786	1373.96638845198	1310.91618791149	1329.19225204999	1375.68442710785	1088.61480833438	854.270172780469	1331.16130349028	1073.100912439	1264.02199144253
AGAP004678-RA	169.542945473495	128.108627189835	129.321674945873	208.23382174966	240.527492167666	185.427419499916	98.6123696435042	114.610298053506	110.783445240423	116.149735930992	99.2366531348592	53.9719783873801	153.797950158444	107.231561104648	65.1782939557835	195.296852282723	209.836348632955	133.393878281781
AGAP004679-RA	165.689696712734	151.309402192719	172.154331615844	171.701572319895	147.752602331567	104.879762160586	310.094318999453	189.197952342296	137.371472098125	268.183130117087	319.542023094247	164.032483334194	269.358840885231	130.393578303252	156.42790549388	208.017336914165	167.43418491956	161.912569500644
AGAP004679-RB	160.552031698385	149.291943496816	154.032823024703	176.572538910531	374.535666375366	195.495876667333	77.2265545400937	218.305329625727	210.045412175843	101.985133988188	113.129784573739	110.060504946814	96.0175047950508	177.575465189297	65.1782939557835	142.918386153257	208.749113665945	151.793033906854
AGAP004680-RA	16.6974112966321	18.1571282631262	10.7081641674927	4.87096659063533	24.0527492167666	14.2636476538397	9.50480671262691	13.6440831016079	8.86267561923387	11.3316815542431	11.9083983761831	14.8158372043788	16.1445362044776	8.57852488837182	11.2975709523358	2.24479140554854	8.69787973608103	10.1195355937903
AGAP004681-RA	5.13766501434834	2.01745869590292	1.64740987192195	1.21774164765883	1.71805351548333	0.839038097284689	0	0.909605540107194	0.886267561923387	0.944306796186926	1.98473306269718	1.05827408602706	2.54913729544383	0.857852488837182	1.73808783882089	1.49652760369903	0	0
AGAP004682-RA	497.069090138201	488.225004408506	584.830504532294	495.620850597145	577.2659812024	468.183258284857	514.447663320932	531.209635422601	475.925680752859	578.860066062586	483.282500766764	476.223338712177	697.613906519794	522.432165701844	488.402682708671	593.373194866664	602.328171723611	667.889349190157
AGAP004683-RA	498.353506391789	447.875830490447	588.125324276138	416.46764349932	544.622964408216	582.292439515574	648.703058136787	595.791628770212	597.344336736363	712.951631121129	730.381767072564	643.430644304453	661.076271951766	628.805874317655	540.545317873298	687.654433899702	469.685505748375	651.330109127592
AGAP004684-RA	648.630208061477	405.509197876486	522.22892939926	764.741754729746	769.687974936533	572.223982348158	595.238520378261	484.819752877134	527.329199344415	598.690508782511	559.694723680606	652.955111078696	793.631411314845	504.417263436263	402.367334687037	761.732550282804	792.594290950383	850.960947659636
AGAP004685-RA	173.396194234256	165.431613064039	188.628430335064	211.887046692637	84.1846222586833	170.324733748792	181.77942837899	161.000180598973	209.159144613919	204.914574772563	167.709943797912	172.498676022411	181.838460408326	203.311039854412	169.463564285037	258.151011638082	175.044829688631	222.629783063386
AGAP004685-RB	1.28441625358708	0	0	0	75.5943546812666	41.9519048642345	0	0	0	0	0	29.6316744087577	0	0	0	0.748263801849513	0	0
AGAP004686-RA	1177.80970453936	1270.99897841884	1194.37215714342	1278.62873004177	1334.92758153055	1230.86888871664	1291.46561207818	1422.62306472765	1252.29606499775	1678.03317682417	1504.42766152447	1346.12463742642	1396.0775254714	1345.1127024967	1292.26830816333	1527.95468337671	1201.39463854619	1393.7360385993
AGAP004687-RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP004689-RA	467.527516305699	438.797266358884	443.976960482967	538.241808265204	608.190944481099	422.875201031483	526.328671711715	578.509123508175	547.713353268653	636.462780629988	775.03826098325	518.554302153259	646.631160610918	676.845613692537	477.105111756335	633.031176364688	682.783559282361	563.934119908494
AGAP004689-RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP004689-RC	128.441625358708	109.951498926709	72.486034364566	37.7499910774238	134.0081742077	117.465333619856	22.5739159424889	108.243059272756	120.532388421581	91.5977592301319	82.3664221019331	68.7878155917589	54.381595636135	71.2017565734862	84.2972601828133	124.960054908869	146.776720546367	138.913624969303
AGAP004690-RA	0	1.00872934795146	0	0	0	0	0	0	0	0	2.97709959404578	0	4.24856215907305	0	0	0.748263801849513	3.26170490103038	3.67983112501464
AGAP004691-RA	1162.39670949631	914.917518591973	1165.54248438478	1125.19328243676	1168.27639052867	1019.4312882009	1056.22164594067	1104.26112569013	1137.08128194771	1255.92803892861	1285.11465809643	851.910639251783	1047.69542842741	1181.2628771288	1195.80443310877	1139.60577021681	1072.01367747199	1005.51385491025
AGAP004692-RA	408.444368640693	472.085334841282	419.265812404137	545.548258151157	745.635225719766	472.37844877128	358.806453401666	589.424389989462	501.627440048637	540.143487418922	767.099328732461	624.381710755966	488.5846482934	452.088261617195	439.736223221686	535.756882124251	483.819560319507	622.811417908728
AGAP004692-RB	141.285787894579	87.7594532717769	173.801741487766	131.516097947154	142.598441785117	150.187819413959	172.274621666363	129.163986695222	161.300696270056	170.919530109834	107.175585385648	62.4381710755965	107.063766408641	131.251430792089	147.737466299776	139.925330945859	116.334141470084	157.312780594376
AGAP004692-RC	0	0	0	0	0	0	0	8.18644986096475	0	0	0	0	0	0	0	0	0	0
