id	M_ZT0	M_ZT0.1	M_ZT0.2	M_ZT4	M_ZT4.1	M_ZT4.2	M_ZT8	M_ZT8.1	M_ZT8.2	M_ZT12	M_ZT12.1	M_ZT12.2	M_ZT16	M_ZT16.1	M_ZT16.2	M_ZT20	M_ZT20.1	M_ZT20.2
AGAP007549-RA	14.1285787894579	27.2356923946894	38.7141319901659	73.0644988595299	39.5152308561166	53.6984382262201	28.5144201378807	53.6667268663245	38.1095051627056	9.44306796186926	11.9083983761831	9.52446677424354	5.09827459088766	18.872754754418	9.55948311351491	16.4618036406893	11.9595846371114	7.35966225002928
AGAP007550-RB	530.463912731466	539.67020115403	555.177126837699	556.507932980086	376.25371989085	417.001934350491	711.67240260794	487.548569497456	595.571801612516	812.103844720757	571.603122056789	935.514292047921	637.284323860957	481.255246237659	555.319064503275	508.071121455819	392.491823090656	440.659777220503
AGAP007552-RA	14.1285787894579	16.1396695672233	20.5926233990244	56.0161157923063	42.9513378870833	42.7909429615191	97.4242688044259	149.17530857758	131.167599164661	390.943013621388	334.427521064475	426.484456668905	57.7804453633934	62.6232316851143	38.2379324540596	35.1683986869271	25.0064042412329	40.4781423751611
AGAP007553-RA	200.368935559585	156.353048932476	217.458103093698	207.016080102001	257.7080273225	237.447781531567	396.825680252174	413.870520748773	480.357018562476	436.26973983836	423.740508885849	478.339886884231	441.850464543597	465.81390143859	314.593898826582	323.24996239899	410.974817529828	342.224294626362
AGAP007564-RA	14.1285787894579	16.1396695672233	9.06075429557075	25.5725746008355	12.0263746083833	18.4588381402632	8.31670587354855	10.9152664812863	7.0901404953871	15.1089087389908	8.93129878213733	14.8158372043788	5.94798702270226	0.857852488837182	1.73808783882089	2.99305520739805	7.6106447690709	9.1995778125366
AGAP007565-RA	219.635179363391	265.295818511234	215.810693221776	231.370913055178	183.831726156717	206.403371932034	147.324504045717	130.073592235329	147.120415279282	137.868792243291	155.801545421729	157.682838818032	210.728683090023	251.350779229294	225.082375127306	175.093729632786	283.768326389643	147.193245000586
AGAP007572-RA	161.836447951973	144.248296757059	168.859511872	724.556280357005	1190.61108622995	799.603306712309	4504.09028094608	5967.01234310319	5683.63387461468	1896.16804674335	1979.77123004044	2621.34491108903	407.861967271012	324.268240780455	277.225010291932	216.996502536359	292.466206125725	204.230627438313
AGAP007575-RA	152.845534176863	148.283214148864	149.090593408937	180.225763853507	170.08729803285	140.958400343828	125.938688942307	109.152664812863	118.759853297734	99.1522135996273	88.3206212900247	122.759793979139	152.098525294815	125.246463370229	112.975709523358	166.114564010592	198.963998962853	164.672442844405
AGAP007581-RA	131.010457865883	146.265755452961	135.0876094976	107.161264993977	89.3387828051333	105.718800257871	73.6622520228586	64.5819933476108	23.9292241719314	103.873747580562	105.190852322951	69.846089677786	135.104276658523	108.947266082322	99.0710068127909	118.225680692223	122.857551272144	118.674553781722
AGAP007582-RA	209.359849334695	223.937915245224	234.755906748879	204.580596806684	223.346957012833	208.920486223888	175.838924183598	122.796747914471	187.888723127758	168.086609721273	152.824445827683	117.468423549004	200.532133908248	175.859760211622	184.237310915015	198.289907490121	222.883168237076	217.110036375864
AGAP007584-RA	215.78193060263	317.749744604709	273.470038739044	204.580596806684	206.166421858	231.574514850574	243.560672011065	329.277205518804	241.064776843161	356.947968958658	345.34355290931	400.027604518229	220.075519839984	265.076419050689	279.832142050164	207.269073112315	257.6746871814	260.348052094786
AGAP007587-RB	434.132693712434	400.465551136729	521.405224463299	359.233786059355	226.7830640438	161.09531467866	133.067293976777	121.887142374364	230.429566100081	216.246256326806	279.847361840303	164.032483334194	276.156540339748	468.387458905102	282.439273808395	379.369747537703	391.404588123646	364.303281376449
AGAP007588-RA	155.414366684037	162.405425020185	185.33361059122	105.943523346318	128.85401366125	103.201685966017	203.1652434824	165.548208299509	171.049639451214	299.345254391256	281.832094903	401.085878604256	246.416605226237	201.595334876738	213.78480417497	210.262128319713	157.649070216469	229.069487532161
AGAP007591-RA	60.3675639185929	58.5063021811846	50.2460010936196	32.8790244867885	32.6430167941833	29.3663334049641	35.6430251723509	33.6554049839662	14.1802809907742	14.1646019428039	28.7786294091092	16.932385376433	73.0752691360564	78.0645764841836	39.1069763734701	43.3993005072717	67.408567954628	56.1174246564733
AGAP007593-RA	32.1104063396771	28.2444217426408	67.5438047488001	56.0161157923063	56.69576601095	47.8251715452273	57.0288402757615	92.7797650909338	89.5130237542621	94.4306796186927	86.3358882273275	130.167712581328	71.3758442724272	96.0794787497644	115.582841281589	59.861104147961	45.6638686144254	48.757762406444
AGAP007593-RB	328.810560918294	348.011625043253	296.533776945952	367.757977592967	355.63707770505	393.508867626519	534.645377585264	501.192652599064	461.745399762085	452.322955373538	468.397002796535	528.078768927503	386.619156475647	442.651884239986	403.236378606447	336.718710832281	319.647080300978	313.705603407498
AGAP007596-RA	811.751072267037	1050.08725121747	1069.16900687735	723.338538709346	767.969921421049	873.438659273361	998.004704825826	1081.52098718745	1339.15028606624	1413.62727389183	1349.61848263408	1310.1433185015	1019.65491817753	1136.65454770927	1223.61383852991	1314.69949984959	1125.28819085548	1097.50963303562
AGAP007599-RA	2516.1714407771	2158.68080461612	2103.74240644434	1244.53196390733	1147.65974834287	1297.99193649941	1619.38144366381	1506.30677441751	1505.76858770783	1288.03446999897	1238.47343112304	1248.76342151193	2219.44887189976	2177.22961666877	2243.87139991777	2345.80701879822	2269.05937615014	1971.46952522659
AGAP007600-RA	300.553403339378	377.264776133845	406.086533428762	448.12892633845	424.359218324383	356.591191345993	462.171226401484	404.774465347701	492.764764429403	740.33652821055	697.63367153806	698.46089677786	514.076021247839	474.392426326962	557.057152342096	429.50342226162	330.519429971079	438.819861657996
AGAP007607-RA	29.5415738325029	28.2444217426408	26.3585579507513	49.9274075540121	36.07912382515	77.1915049501914	54.6526385976048	71.8588376684683	47.8584483438629	9.44306796186926	19.8473306269718	21.1654817205412	46.7341837498035	29.1669846204642	34.7617567764179	23.9444416591844	29.3553441092735	31.2785645626245
AGAP007608-RA	1005.69792655869	1071.27056752445	834.41310012847	839.023995236935	847.000383133283	878.47288785707	1300.97041879081	1416.2558259469	1362.19324267625	1367.35624087867	1494.50399621098	1221.24829527523	763.891476201334	947.927000165087	1070.66210871367	947.301973141483	877.398618377174	804.963058596953
