id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AGAP005655-RA	1252.04978159814	-0.282711953332044	0.110219245009457	2641.71983246976	0	0
AGAP003844-RA	2082.07748200861	0.0908733172276358	0.11736261090876	2240.47166346104	0	0
AGAP002550-RA	863.270874404879	0.290084140514555	0.138491753197566	1179.72436599398	7.23939710058856e-253	2.94426280080937e-249
AGAP005914-RA	5169.51336357252	-0.616940926714194	0.105228116653689	1138.93315330128	4.94900325342482e-244	1.50956971737591e-240
AGAP011254-RA	707.770781100463	2.34628615256281	0.137382189607915	989.640330377743	1.05119543172578e-211	2.56512709249725e-208
AGAP010766-RA	2932.31472830548	-1.48348612436458	0.191241249807171	958.63513895765	5.41603810455645e-205	1.10135134856155e-201
AGAP010765-RA	501.134128723052	-1.32135862924539	0.202394455663389	905.567566733684	1.66011982759622e-193	2.89358885950021e-190
AGAP010232-RA	1599.92759937723	-1.27813859064317	0.123325981961331	903.693899415163	4.22332828634841e-193	6.44110355271713e-190
AGAP007572-RA	1531.37689838116	5.08761808747646	0.215461853169901	876.6068524842	3.07434153812001e-187	4.16778234517803e-184
AGAP000743-RB	2364.59133458741	0.312861297040218	0.0824126429007349	841.192800865264	1.41584020584423e-179	1.72746663515054e-176
AGAP007801-RA	843.260535816417	2.61215123418888	0.157740721060115	804.244066758375	1.39681682399605e-171	1.54932382450689e-168
AGAP000104-RA	2882.98404245831	-1.59077480872965	0.097947449829276	779.169908313673	3.70973005504917e-166	3.77186803347124e-163
AGAP012217-RA	532.884995435003	-2.99067786469337	0.157962134971232	773.628335355854	5.86194640958446e-165	5.5016621648723e-162
AGAP011925-RA	1547.67263579367	1.03721469568299	0.224431450476144	766.689045294968	1.85795457835552e-163	1.61920741503683e-160
AGAP000023-RA	12890.0288771565	-0.264616047688583	0.100580260619013	667.337420855267	5.65989267191027e-142	4.60375669933181e-139
AGAP013405-RA	377.088916383006	4.1348651580734	0.25195083317368	639.674746942264	5.39742236563156e-136	4.11587189269192e-133
AGAP011045-RA	1383.12439290127	-0.811603109828289	0.147992040105404	632.636670791021	1.79184558093039e-134	1.28601811370187e-131
