CycID	BH.Q	ADJ.P	PER	LAG	AMP
AGAP010026-RB	0.00139769088311367	0.000209118029496181	24	12	170.323635822817
AGAP010048-RA	0.0225397403608559	0.0137221278371488	16	12	123.58085374085
AGAP010049-RA	0.00473530063064799	0.00137277958969135	20	14	283.494099164875
AGAP010050-RA	0.316712070209864	0.305419770472292	8	6	27.2286097235908
AGAP010052-RA	0.0999941246176127	0.0864660957623142	8	4	325.804349800914
AGAP010060-RA	0.0788197079850958	0.0653460291459241	24	22	16.1214971652236
AGAP010072-RA	0.0999941246176127	0.0864660957623142	16	4	48.2181709213057
AGAP010075-RA	0.00100774840362693	0.000123575945529727	24	22	147.650835173906
AGAP010082-RA	0.0480192513252851	0.0361944506823709	24	12	62.6771599645567
AGAP010090-RA	0.0372538367193119	0.0265034793054751	16	14	113.125486528638
AGAP010111-RA	0.00353659496976724	0.000883854124400343	24	14	26.5956538485923
AGAP010122-RA	0.0174464485217839	0.00969117950210387	24	6	815.128076924488
AGAP010123-RA	0.00197112314418885	0.000345488428471622	20	4	37.5257769161547
AGAP010125-RA	0.0104020698840456	0.00464124344376445	24	12	11.2898438845867
AGAP010131-RA	0.253882282376914	0.241446195902603	24	14	1073.14694687917
AGAP010131-RB	0.160769249698264	0.147108417084783	24	14	207.480781998242
AGAP010133-RA	0.000262782766202739	1.12958936488348e-05	24	4	1487.50720333775
AGAP010142-RA	0.0026302037439377	0.000558293830352654	20	14	113.507643202193
AGAP010142-RB	0.00100774840362693	0.000123575945529727	24	14	128.63769247275
AGAP010144-RA	0.0225397403608559	0.0137221278371488	20	12	10.5432784292089
AGAP010145-RA	0.485690953711914	0.477113272756655	8	4	33.4818041557765
AGAP010147-RC	0.0999941246176127	0.0864660957623142	12	8	25.4521134331869
AGAP010147-RI	1	1	24	0	20.2699109920853
AGAP010158-RA	0.00623554422873369	0.00209444471261698	24	12	27.5773755540778
AGAP010160-RA	0.160769249698264	0.147108417084783	12	6	26.0770419682079
AGAP010171-RA	0.0104020698840456	0.00464124344376445	16	6	77.4528348055585
AGAP010174-RA	0.00139769088311367	0.000209118029496181	24	4	211.949378896416
AGAP010175-RB	0.160769249698264	0.147108417084783	16	2	188.381931038365
AGAP010193-RA	0.0372538367193119	0.0265034793054751	20	4	155.752531818283
AGAP010204-RA	0.00473530063064799	0.00137277958969135	24	22	118.231979637174
AGAP010205-RA	0.00100774840362693	0.000123575945529727	24	2	300.553856370298
AGAP010212-RA	0.0225397403608559	0.0137221278371488	20	4	37.5670196385047
AGAP010214-RA	0.126881025204327	0.113309279422725	20	6	142.864699308072
AGAP010221-RA	0.160769249698264	0.147108417084783	24	0	58.5064478532992
AGAP010222-RA	0.00353659496976724	0.000883854124400343	24	10	45.9685019067102
AGAP010224-RA	0.00623554422873369	0.00209444471261698	20	6	265.747041024396
AGAP010226-RA	0.0104020698840456	0.00464124344376445	20	10	531.410319758373
AGAP010228-RA	0.013521274767482	0.00675387899915211	20	2	26.1917324334537
AGAP010229-RA	0.000365855301005208	2.15782700026397e-05	24	4	82.3359084463234
AGAP010232-RA	0.000538068489749162	3.9803800308002e-05	20	4	1696.25857518893
AGAP010232-RB	0.00449082080635888	0.00112831685704585	24	2	82.9484542419623
AGAP010235-RA	0.061568036359375	0.0488892471324194	24	18	24.7276207214413
AGAP010246-RA	0.00473530063064799	0.00137277958969135	16	4	36.3638955816737
AGAP010251-RA	0.00805338209321419	0.0031424559917207	20	6	153.644661699163
AGAP010260-RA	0.0225397403608559	0.0137221278371488	20	12	150.066981348582
AGAP010277-RA	0.061568036359375	0.0488892471324194	20	6	36.825778448302
AGAP010280-RA	0.00473530063064799	0.00137277958969135	20	6	175.528304560066
AGAP010307-RA	0.203160260353675	0.189282268560105	8	4	77.4283039721401
AGAP010308-RA	0.126881025204327	0.113309279422725	24	22	35.6662932902266
AGAP013727-RA	0.0026302037439377	0.000558293830352654	20	18	39.332778726366
AGAP013730-RA	0.0104020698840456	0.00464124344376445	24	18	90.8715471255545
AGAP013730-RB	0.00139769088311367	0.000209118029496181	24	12	54.7531771632663
AGAP013748-RA	0.0290788229269775	0.0191856279224977	20	6	149.687389514094
AGAP013758-RA	0.0999941246176127	0.0864660957623142	8	4	10.285085390936
AGAP027987-RA	0.0480192513252851	0.0361944506823709	24	8	21.2772542776671
AGAP028011-RA	0.061568036359375	0.0488892471324194	20	6	66.5173867500538
AGAP028022-RA	0.0290788229269775	0.0191856279224977	24	6	5.99818284404316
AGAP028025-RA	0.013521274767482	0.00675387899915211	24	18	46.7018794376035
