CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP
AGAP005102-RA	0.0031424559917207	0.00805338209321419	20	2	46.3284316951308	254.338486088852	67.7038269247756	0.266195761270371
AGAP005105-RA	0.00209444471261698	0.00623554422873369	24	22	25.0759260426606	108.303193680082	32.2101875935676	0.297407550960257
AGAP005108-RA	7.11438421522455e-05	0.000741328716315586	20	4	113.727509338289	964.611405952777	153.279853839591	0.158903215215657
AGAP005111-RA	0.000883854124400343	0.00353659496976724	16	12	30.8489357232307	85.8576453014197	38.1021434335468	0.443782767391092
AGAP005117-RA	0.0031424559917207	0.00805338209321419	16	4	28.5219227179402	118.924776740059	33.1016189281244	0.278340812028402
AGAP005122-RA	0.00464124344376445	0.0104020698840456	24	22	162.592891259181	882.929895550748	156.768075787944	0.177554386342482
AGAP005123-RA	0.00675387899915211	0.013521274767482	20	2	32.0767292273055	96.1423073303138	34.8529774743043	0.362514468833797
AGAP005124-RA	0.00137277958969135	0.00473530063064799	20	2	45.2014821497777	339.051174175357	92.4174579988874	0.272576723037948
AGAP005124-RB	0.00464124344376445	0.0104020698840456	20	0	64.5655018144467	327.985257574768	63.1785474817482	0.192626180667117
AGAP005124-RD	0.0031424559917207	0.00805338209321419	24	2	60.7689753128569	534.029608683433	84.8631220674853	0.158910893118271
AGAP005133-RA	0.0137221278371488	0.0225397403608559	24	18	83.8191897406444	657.128393425947	37.6828384649058	0.0573447119952402
AGAP005134-RA	0.0488892471324194	0.061568036359375	24	4	1669.74198737793	11837.5227481094	2618.4433133698	0.221198587668015
AGAP005143-RA	0.000558293830352654	0.0026302037439377	20	14	323.202583240329	847.849001859617	428.230129907755	0.505078296923748
AGAP005144-RA	0.0031424559917207	0.00805338209321419	20	0	17.0053484718798	59.9250993707087	14.8069790706199	0.247091439582285
AGAP005148-RA	0.0031424559917207	0.00805338209321419	20	2	17.8740857061826	121.831603962149	30.4443130921391	0.249888469839054
AGAP005149-RA	0.00209444471261698	0.00623554422873369	20	4	33.1234865232107	186.063473314362	72.485425226497	0.389573643527711
AGAP005150-RA	2.15782700026397e-05	0.000365855301005208	24	16	157.457152043812	617.909204515815	219.696937944578	0.355548899966184
AGAP005155-RA	0.0031424559917207	0.00805338209321419	24	0	132.302846279616	580.855498954537	170.607288652938	0.293717265240681
AGAP005156-RA	0.241446195902603	0.253882282376914	24	18	24.0840062142272	59.3809961698037	3.20473432706466	0.0539690226465807
AGAP005159-RA	0.00137277958969135	0.00473530063064799	20	10	327.077105393259	867.34311819747	420.920087684142	0.485298238785714
AGAP005160-RE	0.241446195902603	0.253882282376914	20	4	59.5745573273887	840.735502658554	63.2885444559249	0.075277592365013
AGAP005161-RA	0.00675387899915211	0.013521274767482	24	0	30.1022628275448	93.6640250645822	39.3456923294551	0.420072619154748
AGAP005167-RA	0.000345488428471622	0.00197112314418885	24	0	18.3020166374741	23.6055582904359	21.2521015866844	0.900300739563314
AGAP005170-RA	0.88047568240583	0.886680376812045	12	2	20.1673593077696	181.314815613717	39.636263145305	0.21860465738083
AGAP005175-RA	0.00675387899915211	0.013521274767482	24	18	342.707048657936	1423.41902337494	208.892173294608	0.146753815892753
AGAP005175-RB	0.241446195902603	0.253882282376914	24	12	86.2163876853147	210.908067261245	163.921628560447	0.777218390406105
AGAP005188-RA	0.000209118029496181	0.00139769088311367	24	2	49.4149281578531	221.926677056817	62.5261594270383	0.281742421669435
AGAP005191-RA	0.00137277958969135	0.00473530063064799	20	18	41.3892025847274	138.291705657597	37.7996887052449	0.273333013903486
AGAP005193-RA	0.000883854124400343	0.00353659496976724	24	20	39.0839381286735	150.259479059383	40.5374938413655	0.269783271545517
AGAP005197-RA	0.0031424559917207	0.00805338209321419	20	10	1896.97070652837	6889.13733270726	1672.69174840853	0.242801336020283
AGAP005205-RB	0.00969117950210387	0.0174464485217839	20	16	311.58224894548	767.031589905431	288.024795391043	0.375505779920426
AGAP005209-RA	0.305419770472292	0.316712070209864	24	20	72.3496028846481	561.290094281436	46.0255286735661	0.0819995384605674
AGAP005219-RA	0.0864660957623142	0.0999941246176127	16	12	51.3381532022022	525.154727313653	87.9876070353643	0.167546063015468
